claim_boundary,figure,metric,metric_direction,metric_label,model_key,model_label,panel,seed_count,source_file,status,task,value
single-seed same-corpus Bach baseline,Figure 2,pitch_accuracy,higher,Pitch accuracy,lstm_baseline,LSTM,pitch_accuracy,1,results/project1_metrics.csv,available,soprano_to_satb,0.7771481286241434
single-seed same-corpus Bach baseline,Figure 2,cross_entropy,lower,Cross entropy,lstm_baseline,LSTM,cross_entropy,1,results/project1_metrics.csv,available,soprano_to_satb,0.7809930562973022
single-seed same-corpus Bach baseline,Figure 2,rule_violations_per_100_timesteps,lower,Rule flags/100,lstm_baseline,LSTM,rule_violations_per_100_timesteps,1,results/project1_metrics.csv,available,soprano_to_satb,12.915129151291513
single-seed same-corpus Bach baseline,Figure 2,musicxml_export_success_rate,higher,XML success,lstm_baseline,LSTM,musicxml_export_success_rate,1,results/project1_metrics.csv,available,soprano_to_satb,1.0
same-corpus Bach baseline; statistics only when paired multiseed rows are available,Figure 2,pitch_accuracy,higher,Pitch accuracy,vanilla_transformer,Vanilla Transformer,pitch_accuracy,3,results\vanilla_transformer_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,0.7690651906519065
same-corpus Bach baseline; statistics only when paired multiseed rows are available,Figure 2,cross_entropy,lower,Cross entropy,vanilla_transformer,Vanilla Transformer,cross_entropy,3,results\vanilla_transformer_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,0.870541493097941
same-corpus Bach baseline; statistics only when paired multiseed rows are available,Figure 2,rule_violations_per_100_timesteps,lower,Rule flags/100,vanilla_transformer,Vanilla Transformer,rule_violations_per_100_timesteps,3,results\vanilla_transformer_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,15.331224740818838
same-corpus Bach baseline; statistics only when paired multiseed rows are available,Figure 2,musicxml_export_success_rate,higher,XML success,vanilla_transformer,Vanilla Transformer,musicxml_export_success_rate,3,results\vanilla_transformer_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,1.0
same-corpus Bach evidence only,Figure 2,pitch_accuracy,higher,Pitch accuracy,current_rule_guided,Current rule-guided,pitch_accuracy,3,results\project1_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,0.8229807298072981
same-corpus Bach evidence only,Figure 2,cross_entropy,lower,Cross entropy,current_rule_guided,Current rule-guided,cross_entropy,3,results\project1_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,0.6072547594706217
same-corpus Bach evidence only,Figure 2,rule_violations_per_100_timesteps,lower,Rule flags/100,current_rule_guided,Current rule-guided,rule_violations_per_100_timesteps,3,results\project1_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,3.654893691794061
same-corpus Bach evidence only,Figure 2,musicxml_export_success_rate,higher,XML success,current_rule_guided,Current rule-guided,musicxml_export_success_rate,3,results\project1_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,1.0
same-corpus Bach evidence only; no state-of-the-art or expert-preference claim,Figure 2,pitch_accuracy,higher,Pitch accuracy,cih_s2s,CIH-S2S,pitch_accuracy,3,results\cih_s2s_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,0.8305804486616295
same-corpus Bach evidence only; no state-of-the-art or expert-preference claim,Figure 2,cross_entropy,lower,Cross entropy,cih_s2s,CIH-S2S,cross_entropy,3,results\cih_s2s_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,0.5657975842555364
same-corpus Bach evidence only; no state-of-the-art or expert-preference claim,Figure 2,rule_violations_per_100_timesteps,lower,Rule flags/100,cih_s2s,CIH-S2S,rule_violations_per_100_timesteps,3,results\cih_s2s_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,14.470216130732737
same-corpus Bach evidence only; no state-of-the-art or expert-preference claim,Figure 2,musicxml_export_success_rate,higher,XML success,cih_s2s,CIH-S2S,musicxml_export_success_rate,3,results\cih_s2s_robustness_summary.json,formal_multiseed_mean,soprano_to_satb,1.0
