claim_boundary,diagnostic,diagnostic_label,figure,model,model_label,seed_count,source_file,task,unit,value
automatic rule diagnostic; no expert-rating claim,parallel_fifth,Parallel fifths,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,2.79388508170796
automatic rule diagnostic; no expert-rating claim,parallel_octave,Parallel octaves,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,2.4117026884554558
automatic rule diagnostic; no expert-rating claim,voice_crossing,Crossing,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,1.58144438587243
automatic rule diagnostic; no expert-rating claim,spacing,Spacing,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,0.3953610964681075
automatic rule diagnostic; no expert-rating claim,seventh_resolution,Seventh resolution,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,2.952029520295203
automatic rule diagnostic; no expert-rating claim,leading_tone_resolution,Leading tone,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,1.8054823405376912
automatic cadence diagnostic; no expert-rating claim,cadence_unknown_rate,Cadence unknown,Figure 3,transformer_no_constraints,Vanilla Transformer,3,results/project1_metrics.csv,soprano_to_satb,rate,0.36936936936936937
automatic rule diagnostic; no expert-rating claim,parallel_fifth,Parallel fifths,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,
automatic rule diagnostic; no expert-rating claim,parallel_octave,Parallel octaves,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,0.0790722192936215
automatic rule diagnostic; no expert-rating claim,voice_crossing,Crossing,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,
automatic rule diagnostic; no expert-rating claim,spacing,Spacing,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,
automatic rule diagnostic; no expert-rating claim,seventh_resolution,Seventh resolution,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,0.8302583025830258
automatic rule diagnostic; no expert-rating claim,leading_tone_resolution,Leading tone,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_rule_violations.csv,soprano_to_satb,flags per 100 score positions,2.2403795466526093
automatic cadence diagnostic; no expert-rating claim,cadence_unknown_rate,Cadence unknown,Figure 3,proposed_neural_symbolic_rule_guided_enhanced,Current rule-guided,3,results/project1_metrics.csv,soprano_to_satb,rate,0.3873873873873874
