excluded_reason,metrics_path,run
"missing epoch, val_loss, or val_accuracy, or too few epochs",runs\bcfb_external_musicxml_pilot\metrics.csv,bcfb_external_musicxml_pilot
not selected primary run,runs\chorale_ablation_no_harmony\metrics.csv,chorale_ablation_no_harmony
not selected primary run,runs\chorale_ablation_no_harmony_enhanced_20260616_212438\metrics.csv,chorale_ablation_no_harmony_enhanced_20260616_212438
not selected primary run,runs\chorale_ablation_no_iterative_refinement\metrics.csv,chorale_ablation_no_iterative_refinement
not selected primary run,runs\chorale_ablation_no_iterative_refinement_enhanced_20260616_212438\metrics.csv,chorale_ablation_no_iterative_refinement_enhanced_20260616_212438
not selected primary run,runs\chorale_ablation_no_rule_guided_decoding\metrics.csv,chorale_ablation_no_rule_guided_decoding
not selected primary run,runs\chorale_ablation_no_rule_guided_decoding_enhanced_20260616_212438\metrics.csv,chorale_ablation_no_rule_guided_decoding_enhanced_20260616_212438
not selected primary run,runs\chorale_ablation_no_voice_relation_enhanced_20260616_212438\metrics.csv,chorale_ablation_no_voice_relation_enhanced_20260616_212438
development or software-check run,runs\chorale_hierarchical_score_transformer_smoke\metrics.csv,chorale_hierarchical_score_transformer_smoke
not selected primary run,runs\chorale_lstm_full_20260615_085410\metrics.csv,chorale_lstm_full_20260615_085410
not selected primary run,runs\chorale_masked_infilling\metrics.csv,chorale_masked_infilling
not selected primary run,runs\chorale_masked_infilling_20260705_212717\metrics.csv,chorale_masked_infilling_20260705_212717
not selected primary run,runs\chorale_masked_infilling_enhanced_20260616_205831\metrics.csv,chorale_masked_infilling_enhanced_20260616_205831
not selected primary run,runs\chorale_rule_guided_decoding_enhanced_20260616_205831\metrics.csv,chorale_rule_guided_decoding_enhanced_20260616_205831
development or software-check run,runs\chorale_rule_guided_decoding_enhanced_fastcheck_20260616_204733\metrics.csv,chorale_rule_guided_decoding_enhanced_fastcheck_20260616_204733
development or software-check run,runs\chorale_rule_guided_decoding_fastcheck\metrics.csv,chorale_rule_guided_decoding_fastcheck
not selected primary run,runs\chorale_rule_guided_decoding_rerankfix_20260617_125404\metrics.csv,chorale_rule_guided_decoding_rerankfix_20260617_125404
development or software-check run,runs\chorale_smoke\metrics.csv,chorale_smoke
not selected primary run,runs\chorale_soprano_to_satb\metrics.csv,chorale_soprano_to_satb
not selected primary run,runs\chorale_soprano_to_satb_20260705_212717\metrics.csv,chorale_soprano_to_satb_20260705_212717
not selected primary run,runs\chorale_soprano_to_satb_enhanced_20260616_205831\metrics.csv,chorale_soprano_to_satb_enhanced_20260616_205831
development or software-check run,runs\cih_s2s_cpu_smoke\metrics.csv,cih_s2s_cpu_smoke
development or software-check run,runs\cih_s2s_experiment_design_smoke\metrics.csv,cih_s2s_experiment_design_smoke
not selected primary run,runs\cih_s2s_formal_multiseed\seed_2027\metrics.csv,cih_s2s_formal_multiseed/seed_2027
not selected primary run,runs\cih_s2s_formal_multiseed\seed_2028\metrics.csv,cih_s2s_formal_multiseed/seed_2028
development or software-check run,runs\cih_s2s_smoke\metrics.csv,cih_s2s_smoke
"missing epoch, val_loss, or val_accuracy, or too few epochs",runs\cpdl_external_musicxml_expanded\metrics.csv,cpdl_external_musicxml_expanded
"missing epoch, val_loss, or val_accuracy, or too few epochs",runs\cpdl_external_musicxml_pilot\metrics.csv,cpdl_external_musicxml_pilot
not selected primary run,runs\project1_multiseed\seed_2027\metrics.csv,project1_multiseed/seed_2027
not selected primary run,runs\project1_multiseed\seed_2028\metrics.csv,project1_multiseed/seed_2028
"missing epoch, val_loss, or val_accuracy, or too few epochs",runs\project1_multiseed_fastdev_check\seed_3031\metrics.csv,project1_multiseed_fastdev_check/seed_3031
not selected primary run,runs\vanilla_transformer_formal_multiseed\seed_2027\metrics.csv,vanilla_transformer_formal_multiseed/seed_2027
not selected primary run,runs\vanilla_transformer_formal_multiseed\seed_2028\metrics.csv,vanilla_transformer_formal_multiseed/seed_2028
