figure,panel,plotted,model_label,model,task,rule_guided_decoding,rule,rule_label,count,per_100_timesteps,per_100_score_positions,seed,test_count,n_definition,denominator,source_file,script,command,generated_at,hardware,os,python_version,torch_version
project1_rule_violations_bar,a-b,yes,Vanilla,transformer_no_constraints,soprano_to_satb,False,parallel_fifth,Parallel fifths,212,2.79388508170796,2.79388508170796,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Vanilla,transformer_no_constraints,soprano_to_satb,False,parallel_octave,Parallel octaves,183,2.4117026884554558,2.4117026884554558,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Vanilla,transformer_no_constraints,soprano_to_satb,False,leading_tone_resolution,Leading-tone resolution,137,1.8054823405376912,1.8054823405376912,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Vanilla,transformer_no_constraints,soprano_to_satb,False,voice_crossing,Voice crossing,120,1.58144438587243,1.58144438587243,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Vanilla,transformer_no_constraints,soprano_to_satb,False,spacing,Adjacent-voice spacing,30,0.3953610964681075,0.3953610964681075,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Vanilla,transformer_no_constraints,soprano_to_satb,False,seventh_resolution,Seventh resolution,224,2.952029520295203,2.952029520295203,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Proposed,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,parallel_fifth,Parallel fifths,0,0,0,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Proposed,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,parallel_octave,Parallel octaves,6,0.0790722192936215,0.0790722192936215,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Proposed,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,leading_tone_resolution,Leading-tone resolution,170,2.2403795466526093,2.2403795466526093,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Proposed,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,voice_crossing,Voice crossing,0,0,0,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Proposed,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,spacing,Adjacent-voice spacing,0,0,0,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_rule_violations_bar,a-b,yes,Proposed,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,seventh_resolution,Seventh resolution,63,0.8302583025830258,0.8302583025830258,2026,37,37 held-out music21 Bach chorales in the deterministic test split,100 quantized SATB score positions,results\project1_rule_violations.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
