run,metrics_path,excluded_reason
chorale_ablation_no_harmony_enhanced_20260616_212438,runs\chorale_ablation_no_harmony_enhanced_20260616_212438\metrics.csv,not included in selected comparable training-curve panel
chorale_ablation_no_iterative_refinement,runs\chorale_ablation_no_iterative_refinement\metrics.csv,not included in selected comparable training-curve panel
chorale_ablation_no_iterative_refinement_enhanced_20260616_212438,runs\chorale_ablation_no_iterative_refinement_enhanced_20260616_212438\metrics.csv,not included in selected comparable training-curve panel
chorale_ablation_no_rule_guided_decoding_enhanced_20260616_212438,runs\chorale_ablation_no_rule_guided_decoding_enhanced_20260616_212438\metrics.csv,not included in selected comparable training-curve panel
chorale_ablation_no_voice_relation_enhanced_20260616_212438,runs\chorale_ablation_no_voice_relation_enhanced_20260616_212438\metrics.csv,not included in selected comparable training-curve panel
chorale_lstm,runs\chorale_lstm\metrics.csv,not included in selected comparable training-curve panel
chorale_masked_infilling,runs\chorale_masked_infilling\metrics.csv,not included in selected comparable training-curve panel
chorale_masked_infilling_enhanced_20260616_205831,runs\chorale_masked_infilling_enhanced_20260616_205831\metrics.csv,not included in selected comparable training-curve panel
chorale_rule_guided_decoding_enhanced_20260616_205831,runs\chorale_rule_guided_decoding_enhanced_20260616_205831\metrics.csv,not included in selected comparable training-curve panel
chorale_rule_guided_decoding_enhanced_fastcheck_20260616_204733,runs\chorale_rule_guided_decoding_enhanced_fastcheck_20260616_204733\metrics.csv,smoke or development run
chorale_rule_guided_decoding_fastcheck,runs\chorale_rule_guided_decoding_fastcheck\metrics.csv,smoke or development run
chorale_rule_guided_decoding_rerankfix_20260617_125404,runs\chorale_rule_guided_decoding_rerankfix_20260617_125404\metrics.csv,not included in selected comparable training-curve panel
chorale_smoke,runs\chorale_smoke\metrics.csv,smoke or development run
chorale_soprano_to_satb,runs\chorale_soprano_to_satb\metrics.csv,not included in selected comparable training-curve panel
chorale_soprano_to_satb_enhanced_20260616_205831,runs\chorale_soprano_to_satb_enhanced_20260616_205831\metrics.csv,not included in selected comparable training-curve panel
