model,task,rule_guided_decoding,roman_numeral_extraction_coverage,chord_label_coverage,roman_known_total,chord_known_total,generated_roman_known_total,generated_chord_known_total,harmony_label_steps,cadence_unknown_count,cadence_checks
ablation_no_harmony_conditioning,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,,,,,,,
ablation_no_iterative_refinement,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,,,,,,,
ablation_no_rule_guided_decoding,soprano_to_satb,False,0.9952556668423828,0.9952556668423828,,,,,,,
proposed_neural_symbolic_masked_infilling,masked_infill,True,0.9952556668423828,0.9952556668423828,,,,,,,
proposed_neural_symbolic_rule_guided,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,,,,,,,
chorale_smoke,soprano_to_satb,False,1.0,1.0,,,,,,,
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,,,,,,,
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7585,7585,7588,34,37
ablation_no_iterative_refinement_enhanced,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7505,7505,7588,36,37
ablation_no_rule_guided_decoding_enhanced,soprano_to_satb,False,0.9952556668423828,0.9952556668423828,7552,7552,7540,7540,7588,34,37
ablation_no_voice_relation_attention_enhanced,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7475,7475,7588,36,37
proposed_neural_symbolic_rule_guided_rerankfix_20260617_125404,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7529,7529,7588,36,37
rerank_sweep_old_vertical_only,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7491,7491,7588,36,37
rerank_sweep_balanced_t1_s1,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7515,7515,7588,36,37
rerank_sweep_temporal2_seventh2,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7510,7510,7588,36,37
rerank_sweep_temporal3_seventh2,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7501,7501,7588,36,37
rerank_sweep_temporal4_seventh3,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7495,7495,7588,36,37
proposed_neural_symbolic_rule_guided_rerankfix_tuned_20260617_125404,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7495,7495,7588,36,37
proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7484,7484,7588,15,37
transformer_no_constraints,soprano_to_satb,False,0.9952556668423828,0.9952556668423828,7552,7552,7544,7544,7588,14,37
lstm_baseline,soprano_to_satb,False,0.9952556668423828,0.9952556668423828,7552,7552,7544,7544,7588,8,37
proposed_neural_symbolic_masked_infilling_enhanced,masked_infill,True,0.9952556668423828,0.9952556668423828,7552,7552,7470,7470,7588,15,37
proposed_neural_symbolic_soprano_to_satb_enhanced,soprano_to_satb,True,0.9952556668423828,0.9952556668423828,7552,7552,7472,7472,7588,13,37
