model,task,rule_guided_decoding,checkpoint,pitch_accuracy,cross_entropy,negative_log_likelihood,soprano_accuracy,alto_accuracy,tenor_accuracy,bass_accuracy,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,seventh_resolution_violation_rate,cadence_correctness_rate,cadence_unknown_rate,roman_numeral_extraction_coverage,chord_label_coverage,generated_roman_numeral_coverage,generated_chord_label_coverage,voice_crossing_rate,range_violation_rate,spacing_violation_rate,musicxml_export_success_rate,evaluated_generations
ablation_no_harmony_conditioning,soprano_to_satb,True,runs\chorale_ablation_no_harmony\best.pt,0.7738095238095238,0.8274685859680175,0.8274685859680175,0.0,0.7865050079072219,0.7688455455983131,0.7660780179230364,27.68845545598313,3.6109646810753824,2.8070637849235633,0.02859778597785978,1.0,0.9459459459459459,0.9952556668423828,0.9952556668423828,0.9942013705851345,0.9942013705851345,0.00017571604287471446,0.0,0.0,1.0,37
ablation_no_iterative_refinement,soprano_to_satb,True,runs\chorale_ablation_no_iterative_refinement\best.pt,0.8241082410824109,0.5862961530685424,0.5862961530685424,0.0,0.8290722192936215,0.8148392198207697,0.8284132841328413,33.592514496573536,1.9240906694781235,4.348972061149183,0.023985239852398525,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9944649446494465,0.9944649446494465,0.0006150061500615006,0.0,0.0003514320857494289,1.0,37
ablation_no_rule_guided_decoding,soprano_to_satb,False,runs\chorale_ablation_no_rule_guided_decoding\best.pt,0.8242839571252856,0.5864947319030762,0.5864947319030762,0.0,0.8315761729045862,0.812467053241961,0.8288086452293094,34.34370057986294,1.8845545598313127,3.650500790722193,0.021481286241433844,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9957828149710068,0.9957828149710068,0.0033386048146195747,0.0,0.0007907221929362151,1.0,37
proposed_neural_symbolic_masked_infilling,masked_infill,True,runs\chorale_masked_infilling\best.pt,0.8290490341753344,0.5865578174591064,0.5865578174591064,0.869180907483795,0.826729745712596,0.8092814371257485,0.8104066985645934,31.404849762783343,1.080653663679494,1.739588824459673,0.03610964681075382,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9947285187137586,0.9947285187137586,0.001932876471621859,0.0,0.00021964505359339307,1.0,37
proposed_neural_symbolic_rule_guided,soprano_to_satb,True,runs\chorale_rule_guided_decoding\best.pt,0.8241521700931295,0.5863701224327087,0.5863701224327087,0.0,0.8310490247759621,0.8120716921454929,0.8293357933579336,33.42119135477069,1.963626779124934,3.6768581971534,0.02161307327358988,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9957828149710068,0.9957828149710068,0.0014057283429977157,0.0,0.0002635740643120717,1.0,37
chorale_smoke,soprano_to_satb,False,runs\chorale_smoke\best.pt,0.7057291666666666,2.013817548751831,2.013817548751831,0.0,0.71484375,0.70703125,0.6953125,9.375,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,runs\chorale_soprano_to_satb\best.pt,0.8238446670180988,0.5863180041313172,0.5863180041313172,0.0,0.83078545071165,0.8118081180811808,0.8289404322614655,33.4739061676331,1.9899841855561413,3.6768581971534,0.02161307327358988,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9957828149710068,0.9957828149710068,0.0014057283429977157,0.0,0.0002635740643120717,1.0,37
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,runs\chorale_ablation_no_harmony_enhanced_20260616_212438\best.pt,0.7716130732735899,0.8469005703926087,0.8469005703926087,0.0,0.783210332103321,0.7668687401159726,0.764760147601476,57.74907749077491,5.416447021613073,2.886136004217185,0.28690036900369004,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9996046389035319,0.9996046389035319,0.0,0.0,0.0,1.0,37
ablation_no_iterative_refinement_enhanced,soprano_to_satb,True,runs\chorale_ablation_no_iterative_refinement_enhanced_20260616_212438\best.pt,0.8248550342646284,0.5937610983848571,0.5937610983848571,0.0,0.8317079599367422,0.8149710068529257,0.8278861360042172,61.729045861887194,2.754348972061149,8.315761729045862,0.13376383763837638,1.0,0.972972972972973,0.9952556668423828,0.9952556668423828,0.989061676331049,0.989061676331049,0.0,0.0,0.0,1.0,37
ablation_no_rule_guided_decoding_enhanced,soprano_to_satb,False,runs\chorale_ablation_no_rule_guided_decoding_enhanced_20260616_212438\best.pt,0.8238007380073801,0.593632185459137,0.593632185459137,0.0,0.8317079599367422,0.8128624143384291,0.8268318397469689,32.617290458618875,1.6473379019504482,3.215603584607275,0.020426989984185556,1.0,0.918918918918919,0.9952556668423828,0.9952556668423828,0.9936742224565103,0.9936742224565103,0.0024600246002460025,0.0,0.0008785802143735723,1.0,37
