model,task,rule_guided_decoding,rule,count,per_100_timesteps
proposed_neural_symbolic_masked_infilling,masked_infill,True,hidden_direct_fifth,25,0.3294675803900896
proposed_neural_symbolic_masked_infilling,masked_infill,True,hidden_direct_octave,27,0.35582498682129676
proposed_neural_symbolic_masked_infilling,masked_infill,True,leading_tone_resolution,1498,19.74169741697417
proposed_neural_symbolic_masked_infilling,masked_infill,True,melodic_leap_recovery,296,3.900896151818661
proposed_neural_symbolic_masked_infilling,masked_infill,True,parallel_fifth,82,1.080653663679494
proposed_neural_symbolic_masked_infilling,masked_infill,True,parallel_octave,132,1.739588824459673
proposed_neural_symbolic_masked_infilling,masked_infill,True,seventh_resolution,274,3.6109646810753824
proposed_neural_symbolic_masked_infilling,masked_infill,True,spacing,5,0.06589351607801792
proposed_neural_symbolic_masked_infilling,masked_infill,True,voice_crossing,44,0.5798629414865577
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,hidden_direct_fifth,15,0.19768054823405376
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,hidden_direct_octave,3,0.03953610964681075
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,leading_tone_resolution,1672,22.034791776489193
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,melodic_leap_recovery,218,2.8729573010015814
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,parallel_fifth,151,1.9899841855561413
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,parallel_octave,279,3.6768581971534
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,seventh_resolution,164,2.161307327358988
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,spacing,6,0.0790722192936215
proposed_neural_symbolic_soprano_to_satb,soprano_to_satb,True,voice_crossing,32,0.42171850289931473
rerank_sweep_temporal2_seventh2,soprano_to_satb,True,hidden_direct_fifth,1,0.013178703215603585
rerank_sweep_old_vertical_only,soprano_to_satb,True,hidden_direct_fifth,13,0.1713231418028466
rerank_sweep_old_vertical_only,soprano_to_satb,True,hidden_direct_octave,3,0.03953610964681075
rerank_sweep_old_vertical_only,soprano_to_satb,True,leading_tone_resolution,1751,23.075909330521878
rerank_sweep_old_vertical_only,soprano_to_satb,True,melodic_leap_recovery,912,12.018977332630469
rerank_sweep_old_vertical_only,soprano_to_satb,True,parallel_fifth,200,2.635740643120717
rerank_sweep_old_vertical_only,soprano_to_satb,True,parallel_octave,648,8.539799683711124
rerank_sweep_old_vertical_only,soprano_to_satb,True,seventh_resolution,989,13.033737480231945
rerank_sweep_balanced_t1_s1,soprano_to_satb,True,hidden_direct_fifth,7,0.09225092250922509
rerank_sweep_balanced_t1_s1,soprano_to_satb,True,leading_tone_resolution,1018,13.41591987348445
rerank_sweep_balanced_t1_s1,soprano_to_satb,True,melodic_leap_recovery,93,1.2256193990511333
rerank_sweep_balanced_t1_s1,soprano_to_satb,True,seventh_resolution,897,11.821296784396415
rerank_sweep_temporal2_seventh2,soprano_to_satb,True,leading_tone_resolution,660,8.697944122298367
rerank_sweep_temporal2_seventh2,soprano_to_satb,True,melodic_leap_recovery,57,0.7511860832894043
rerank_sweep_temporal2_seventh2,soprano_to_satb,True,parallel_octave,2,0.02635740643120717
rerank_sweep_temporal2_seventh2,soprano_to_satb,True,seventh_resolution,880,11.597258829731155
rerank_sweep_temporal3_seventh2,soprano_to_satb,True,leading_tone_resolution,486,6.404849762783342
rerank_sweep_temporal3_seventh2,soprano_to_satb,True,melodic_leap_recovery,55,0.7248286768581972
rerank_sweep_temporal3_seventh2,soprano_to_satb,True,parallel_octave,4,0.05271481286241434
rerank_sweep_temporal3_seventh2,soprano_to_satb,True,seventh_resolution,891,11.742224565102793
rerank_sweep_temporal4_seventh3,soprano_to_satb,True,leading_tone_resolution,413,5.442804428044281
rerank_sweep_temporal4_seventh3,soprano_to_satb,True,melodic_leap_recovery,58,0.7643647865050079
rerank_sweep_temporal4_seventh3,soprano_to_satb,True,parallel_fifth,1,0.013178703215603585
rerank_sweep_temporal4_seventh3,soprano_to_satb,True,parallel_octave,5,0.06589351607801792
rerank_sweep_temporal4_seventh3,soprano_to_satb,True,seventh_resolution,873,11.505007907221929
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,hidden_direct_fifth,19,0.2503953610964681
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,hidden_direct_octave,21,0.2767527675276753
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,leading_tone_resolution,1051,13.850817079599368
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,melodic_leap_recovery,484,6.378492356352135
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,parallel_fifth,411,5.416447021613073
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,parallel_octave,219,2.886136004217185
ablation_no_harmony_conditioning_enhanced,soprano_to_satb,True,seventh_resolution,2177,28.690036900369005
ablation_no_harmony_conditioning,soprano_to_satb,True,hidden_direct_fifth,15,0.19768054823405376
ablation_no_harmony_conditioning,soprano_to_satb,True,hidden_direct_octave,5,0.06589351607801792
ablation_no_harmony_conditioning,soprano_to_satb,True,leading_tone_resolution,1158,15.26093832366895
